Date,Type,Link
2021-06-27 14:43:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812712497905246208
2021-06-27 14:37:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813733600312246272
2021-06-27 14:36:37,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813808891453935616
2021-06-27 14:34:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813787012169003008
2021-06-27 14:33:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813443429813493760
2021-06-26 05:21:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6814393202641043456
2021-06-23 12:59:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813434153263005696
2021-06-22 10:15:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813030287786737664
2021-06-21 16:40:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812448730789285888
2021-06-21 16:38:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812277964273799168
2021-06-21 16:36:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812255250892787712
2021-06-21 16:34:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812710569813127168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6812710569813127168%2C6812759556800733184%29
2021-06-21 16:27:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812580863948161024
2021-06-21 16:26:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812628128477782016
2021-06-21 16:23:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812688540384673792
2021-06-21 16:22:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812418053410836480
2021-06-21 16:21:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810483154806173696
2021-06-21 16:18:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812629363842969600
2021-06-21 16:17:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811957686574346240?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6811957686574346240%2C6812313231512752128%29
2021-06-21 16:17:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811957686574346240?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6811957686574346240%2C6812275655472922624%29
2021-06-21 16:16:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811957686574346240?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6811957686574346240%2C6812311846247301120%29
2021-06-21 16:15:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811957686574346240
2021-06-21 16:11:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811615576138534912?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6811615576138534912%2C6812588594860056576%29
2021-06-21 16:08:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812705247341932544
2021-06-21 09:43:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812616801730486273
2021-06-20 14:12:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810499415007219712
2021-06-20 14:11:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809219328488165376
2021-06-20 14:09:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812310800104083456
2021-06-20 14:07:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812253164104929280
2021-06-20 14:04:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812322517227728896?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6812322517227728896%2C6812335704178335744%29
2021-06-20 14:01:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6812297707605110784
2021-06-20 05:56:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810438925371375616
2021-06-20 05:55:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6809798652903743488
2021-06-20 05:23:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811850851909533696
2021-06-20 05:20:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811159142158344192
2021-06-20 05:17:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811666456158326784
2021-06-20 05:15:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810834737616297984
2021-06-20 05:14:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811217457311744000
2021-06-20 05:13:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811873629081608192
2021-06-20 05:10:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810829668749590528
2021-06-20 05:03:00,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6806144948560392193
2021-06-20 04:55:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812198071607402496
2021-06-20 04:54:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812078811874775041
2021-06-20 04:51:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811690947877969920
2021-06-20 04:43:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6805731429226450944
2021-06-20 04:42:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6812097715971870720
2021-06-20 04:42:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811972045295955968
2021-06-18 16:27:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6811569589433057280
2021-06-18 16:25:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810596779768201216
2021-06-18 16:21:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810898270521556993
